,WildfireYr1,WildfireYr2,WildfireYr3,WildfireYr4,WildfireYr5,WildfireYr6,WildfireYr7,WildfireYr8,WildfireYr9,WildfireYr10
254,0,0,0,0,0,0,0,0,0,0
255,0,0,0,0,0,0,0,0,0,0
256,0,0,0,0,0,0,68244.66908,0,0,0
257,0,0,0,0,0,0,0,0,0,0
258,33719.83236,0,0,0,0,0,0,0,0,0
259,0,0,0,259822.0492,0,0,0,0,0,0
260,0,0,0,0,257233.0485,0,0,0,0,0
261,0,0,0,0,0,0,0,0,0,0
262,0,0,0,0,0,0,0,0,0,0
263,0,0,0,0,0,0,0,0,0,0
264,0,0,0,0,0,0,0,0,0,72934.76041
265,0,0,0,0,0,0,0,0,0,0
266,0,0,0,0,47967.53793,105119.962,0,0,0,547016.2626
267,0,0,0,84217.84184,0,0,0,0,0,0
268,0,0,0,0,0,0,0,0,0,0
269,0,0,0,0,0,0,0,0,0,0
270,19981306.82,0,0,0,0,0,0,0,0,0
271,0,0,0,0,0,0,0,0,0,0
272,0,0,0,0,0,0,0,0,0,0
273,0,0,0,0,0,0,0,0,0,0
274,0,0,0,0,0,0,0,0,0,0
275,0,0,0,0,0,0,0,0,0,0
276,0,0,0,0,0,0,48473.47431,0,0,0
277,0,0,17517.38422,0,0,0,0,0,0,0
278,0,0,0,0,0,0,0,0,0,0
279,0,0,0,0,0,0,0,0,241025.0311,0
280,0,0,0,0,131701.0155,0,0,70465.04851,0,0
281,0,0,0,0,0,0,0,0,0,0
282,0,0,0,0,0,0,0,0,0,0
283,0,0,0,0,983566.4651,0,0,0,147347.8491,0
284,0,0,0,0,0,0,0,0,0,0
285,0,0,0,0,0,0,37722.01981,0,0,0
286,0,0,0,0,0,125043.6921,0,0,0,0
287,25843.3239,0,0,0,0,24245.7148,0,0,0,0
288,0,0,0,758348.1162,0,0,0,0,0,0
289,0,0,129207.6549,0,0,0,0,0,0,0
290,0,0,0,0,0,0,0,0,0,0
291,0,0,0,0,0,0,0,0,0,0
292,0,0,0,0,0,0,0,33106.06447,0,0
293,0,0,0,0,0,24877.23695,0,0,41132.93146,0
