,HiWindLossYr1,HiWindLossYr2,HiWindLossYr3,HiWindLossYr4,HiWindLossYr5,HiWindLossYr6,HiWindLossYr7,HiWindLossYr8,HiWindLossYr9,HiWindLossYr10
282,105727.1566,0,1050.892398,0,18551.52616,22807.62607,0,0,3284.12932,0
283,0,5054.412331,0,0,15339.71284,0,0,0,0,0
284,0,35683.76184,0,0,148523.076,0,0,0,0,0
285,0,0,0,0,0,0,0,0,674206.9601,37970.70578
286,0,520.4780165,6231.064099,0,0,0,0,0,0,0
287,0,0,0,0,42880.69821,12385.95558,19440.21049,0,0,0
288,0,0,449.9375233,0,0,0,41749.17586,6569.346846,7857.808567,31327.3523
289,0,0,1028633.517,0,0,0,0,0,5789.135274,429.3136373
290,0,0,0,0,29827.32448,0,0,0,8181.982461,0
291,0,581.414869,0,0,0,6045.064567,0,0,5078.639457,1074.372392
292,176937.7393,0,3226501.047,0,1013.922509,10353.73189,0,0,12940.56312,541.6473675
293,0,0,3629.069591,609.030152,656.3740443,0,0,0,37845.3108,0
294,0,7769.028625,0,0,0,0,311954.9416,0,0,8750.327877
295,15318.0851,0,0,0,0,0,0,0,0,0
296,0,0,712.2137657,0,0,615.8406058,539487.3068,0,0,4223.123025
297,0,0,4319.80252,1816.292292,0,82299.28219,8988.135468,0,24244.40001,0
298,182.6951645,0,0,0,0,1580.712757,0,0,0,0
299,51294.65128,287907.7383,0,0,192151.6792,7674.19841,0,0,0,0
300,0,0,0,0,0,453134.2323,231.0410283,39223.50157,0,0
301,0,0,0,50076.82572,0,0,0,0,0,1987614.906
302,48568.53818,0,3770.307498,0,0,28509.72723,5643.305113,702.4817615,0,0
303,265395.8897,0,50384.81928,0,35212.02457,0,0,71699.92948,0,37271.90522
304,0,0,0,0,19203.2482,0,0,0,43716.55447,0
305,0,17861.33369,50537.76234,0,0,985570.1489,1118.865321,0,0,1005.711179
306,0,0,0,0,7822.435533,10729.26487,0,75591.25818,0,0
307,3894.769032,82832.78858,0,57044.48715,0,0,155397.6565,94332.02003,0,0
308,0,68222.21323,0,114333.3623,0,21.48316827,2098.44753,0,0,0
309,0,20920.52542,37449.89516,31538.31588,37646.74833,0,3557.35377,0,0,0
310,0,0,0,0,44948.28924,0,0,0,0,0
311,0,0,0,0,57168.62616,6562.924193,0,0,0,0
312,0,1649.590219,9893.311608,0,0,0,0,138581.0971,0,0
