,OtherHazNetCostYr1_,OtherHazNetCostYr2_,OtherHazNetCostYr3_,OtherHazNetCostYr4_,OtherHazNetCostYr5_,OtherHazNetCostYr6_,OtherHazNetCostYr7_,OtherHazNetCostYr8_,OtherHazNetCostYr9_,OtherHazNetCostYr10_
126,0,0,3321957.448,2068337.121,0,0,0,0,0,0
127,0,0,0,0,0,0,0,5097504.474,171203.3758,-2604671.46
128,0,12188439.7,-8056788.212,0,0,0,0,0,7037766.432,0
129,0,0,0,16139050.14,-13560444.58,0,0,0,0,0
130,0,0,0,0,0,0,11382293.72,1493105.145,0,-6975859.529
131,0,0,0,0,0,0,0,0,0,0
132,0,2346074.798,0,0,0,0,0,0,0,278879.8304
133,0,0.008946596,88185.45419,0,3822161.415,-2534229.539,0,0,0,0
134,0,0,0,0,0,0.049956998,297900.9426,3926148.107,0,322757.9104
135,0,0,19516239.16,9998776.687,0,0,-443734.2092,0,0,0
136,95198.5344,0,0,0,0,4240310.455,-3287562.326,4129037.888,-2613444.825,0
137,0,0,0,0,0,0,0,0,4034255.391,0
138,0,0,0,0,3932.914745,0,0,-2837.775123,2343525.548,88004.30858
139,0,0,922.7981349,36.14538601,1594.294277,0,37041.41289,-22740.60942,0,0
140,0,449232.6589,0,-175102.1548,245867.1031,0,0,0,2478620.215,15644.36556
141,0,15003620.26,-9000167.062,12553.80068,0,0,0,1028159.561,0,7454430.869
142,0,0,34702908.39,-21921670.48,0,0,0,0,0,0
143,2813.020955,4378534.334,0,0,11011664.03,-10055094.32,0,0,0,0
144,0,0,0,0,11044088.37,9201387.85,-3054834.408,-5616468.749,0,0
145,1197781.027,0,0,0,0,0,0,0,0,0
146,164.0765194,827.896783,417587.6114,29.99602682,156.2186444,-85.49771627,1110291.741,-941161.9418,-0.465087408,0
147,0,11490355.42,0,3987684.734,0,0,-3021982.865,0,5376551.077,0
148,0,0,0,0,0,18509189.45,0,0,0,0
149,0,0,0,0,0,0,0,0,0,0
150,0,0,1216.930348,0,0,0,0,327.1478528,0,15772237.29
151,0,0,0,0,11877952.35,-9481012.407,37643.81683,0,0,8197727.345
152,0,0,2651396.839,0,4398544.033,-1968467.923,0,0,0,0
153,814627.9271,-577541.9748,11534372.25,-9437827.157,1186.860305,0,781357.0941,0,6468422.378,-4250465.233
154,1047368.532,0,0,0,0,0,280121.5397,0,0,396101.3801
155,0,14505203.62,-9704681.672,0,0,0,598.3427902,0,-409.9405845,-21.82406421
156,0,0,1649795.807,-41.17080809,0,-1123915.967,0,0,0,0
157,0,8186.583008,-5185.453916,0,0,9892280.637,0,0,0,0
158,0,0,0,0,0,0,0,2473191.074,12.29019457,4259187.332
159,0,0,0,0,2417688.965,0,3005209.694,-1841762.815,0,9896061.294
160,0,4.596754948,0,0,0,12526917.91,0,-9417714.551,0,0
161,18111.36821,-12731.23167,0,4531572.332,0,0,1442272.689,0,106120.16,-80826.34222
162,0,0,6959159.671,0,0,-5664397.213,0,0,2003651.362,0
163,0,2600597.448,1955691.769,4422667.465,7838853.768,0,-5646777.92,0,0,10971939.93
164,0,0,0,0,8080802.055,-6355310.139,0,0,2546846.991,-1869275.683
165,1060348.035,0,2916932.315,-1161162.101,0,0,0,0,0,0
166,26222076.19,0,-9160130.816,2882800.227,-2001977.428,0,9360055.716,-6611254.097,0,0
167,0,0.361599097,4258682.735,0,-2751587.453,13511241,0,0,0,0
168,0,7785456.922,393234.4956,0,-5821941.851,0,0,0,0,2379475.356
169,0,0,14279531.57,-13079690.22,0,0,0,0,113226.2102,544225.7818
170,1014066.684,0,91311.50758,0,0,-63723.84044,0,0,0,0
171,0,0,0,0,0,460979.9347,194441.5308,0,0,899141.6887
172,0,22454056.94,0,0,53629.66324,0,0,0,0,0
