trial,sequence,event_id,economic_loss,insured_loss,pa_loss
722,1,180,101745794.7,5087289.733,5899051.894
726,1,181,298180012.4,14909000.62,11310382.92
726,2,182,600593384.4,30029669.22,19641206.76
729,1,183,395368632.7,19768431.64,13987715.84
741,1,184,450261627.1,22513081.36,15499897.2
757,1,185,197040514.3,9852025.717,8524212.007
767,1,186,253213619.7,12660680.98,10071657.62
775,1,187,993746621.4,49687331.07,30471714.47
781,1,188,487187192.7,24359359.64,16517115.39
784,1,189,108565695.7,5428284.784,6086925.18
784,2,190,309436220.8,15471811.04,11620466.73
784,3,191,882859201,44142960.05,27417009.72
785,1,192,715487816.2,35774390.81,22806295.87
789,1,193,857741634.7,42887081.73,26725075.96
790,1,194,114950382.9,5747519.143,6262809.281
791,1,195,162039113.7,8101955.687,7560000.338
805,1,196,366834352.2,18341717.61,13201659.11
814,1,197,138415113.4,6920755.672,6909211.044
827,1,198,250951357.1,12547567.85,10009337.25
830,1,199,211428041.6,10571402.08,8920556.767
832,1,200,187877080.1,9393854.006,8271779.531
833,1,201,702757082.6,35137854.13,22455592.13
834,1,202,301735766.9,15086788.35,11408336.14
835,1,203,1186092109,59304605.45,35770409.96
852,1,204,583912708.9,29195635.44,19181690.8
860,1,205,106863376.7,5343168.836,6040030.033
865,1,206,399796675.7,19989833.78,14109698.69
866,1,207,228386740.4,11419337.02,9387731.651
869,1,208,140334371.7,7016718.587,6962082.392
874,1,209,156244883.7,7812244.185,7400382.033
876,1,210,284157661.6,14207883.08,10924097.97
890,1,211,651721136.3,32586056.82,21049663.97
893,1,212,632724511.5,31636225.57,20526348.7
893,2,213,184019437.7,9200971.887,8165509.961
897,1,214,128170058,6408502.9,6626982.28
902,1,215,1406783621,70339181.06,41849976.15
929,1,216,159571985,7978599.248,7492036.361
949,1,217,207995700.3,10399785.02,8826003.307
953,1,218,522621674.9,26131083.74,17493257.5
955,1,219,286736686.7,14336834.33,10995144.44
964,1,220,206979944.9,10348997.25,8798021.478
964,2,221,118707927.3,5935396.364,6366321.372
965,1,222,547486358.3,27374317.91,18178224.89
967,1,223,391363530.3,19568176.52,13877384.07
975,1,224,2597488097,129874404.9,74651267.85
983,1,225,119487737.5,5974386.874,6387803.43
992,1,226,134230120.3,6711506.017,6793923.681
996,1,227,77134077.41,3856703.87,5221053.168
997,2,228,720868025.9,36043401.3,22954508.82
1000,1,229,180366955.2,9018347.758,8064892.092
1001,1,230,347044603,17352230.15,12656495.01
1002,1,231,214005238.3,10700261.92,8991552.872
1007,1,232,425119987.6,21255999.38,14807300.28
1007,2,233,311984428.8,15599221.44,11690664.26
1009,1,234,330503592.9,16525179.64,12200826.53
1010,1,235,321520320.3,16076016.01,11953357.11
1016,1,236,534660543.7,26733027.18,17824901.88
1027,1,237,362656576.4,18132828.82,13086570.57
1027,2,238,868141936.9,43407096.85,27011581.43
1027,3,239,778322043.5,38916102.17,24537240.75
1042,1,240,170292257.6,8514612.881,7787356.315
1044,1,241,77481845.49,3874092.275,5230633.415
1053,1,242,1076011513,53800575.67,32737931.46
1060,1,243,298935493.8,14946774.69,11331194.77
1061,1,244,685705601.2,34285280.06,21985861.29
1067,1,245,304349820.6,15217491.03,11480347.58
1071,1,246,287031083.8,14351554.19,11003254.44
1077,1,247,1243085160,62154257.99,37340443.27
1081,1,248,757875678.4,37893783.92,23973988.32
1088,1,249,300234474.8,15011723.74,11366978.85
1100,1,250,182118715.4,9105935.772,8113149.239
1106,1,251,249036425.4,12451821.27,9956585.095
1108,1,252,65988747.13,3299437.357,4914023.812
1111,1,253,307129287.1,15356464.35,11556915.77
1113,1,254,678955050.9,33947752.54,21799898.46
1113,2,255,780819292.9,39040964.64,24606034.48
1114,1,256,307985347.8,15399267.39,11580498.36
1115,1,257,166082411.9,8304120.597,7671384.318
1119,1,258,125543659.5,6277182.975,6554630.773
1122,1,259,405880456.3,20294022.81,14277293.47
1129,1,260,323477508.1,16173875.41,12007273.34
1134,1,261,135254893.2,6762744.661,6822153.921
1137,1,262,405968910.1,20298445.5,14279730.18
1141,1,263,2030410133,101520506.7,59029516.12
1153,1,264,163839158.4,8191957.918,7609587.611
1153,2,265,51917162.12,2595858.106,4526382.567
1155,1,266,217054284.9,10852714.24,9075547.405
1159,1,267,151383260.5,7569163.026,7266454.998
1161,1,268,471078451.7,23553922.59,16073354.97
1161,3,269,326354679.3,16317733.96,12086533.08
1162,1,270,740182212.8,37009110.64,23486572.23
1165,1,271,748497753.8,37424887.69,23715647.11
1168,1,272,221074971.4,11053748.57,9186308.482
1181,1,273,713773923.4,35688696.17,22759081.89
1185,1,274,267308454.8,13365422.74,10459939.35
